impala 0.001 0.99 0.1, 65.33, 833.33
impala 0.001 0.8 0.01, 53.45, 681.82
impala 0.0001 0.95 0.1, 44.33, 833.33
impala 0.0001 0.8 0.01, 57.0, 1071.43
impala 0.001 0.99 0.01, 73.5, 937.5
impala 0.0001 0.99 0.01, 44.1, 750.0
impala 0.0001 0.99 0.1, 39.9, 750.0
impala 0.001 0.95 0.01, 44.33, 833.33
impala 0.0001 0.95 0.01, 46.2, 750.0
impala 0.001 0.8 0.1, 52.5, 937.5
impala 0.001 0.95 0.1, 46.67, 833.33
impala 0.0001 0.8 0.1, 37.8, 750.0
